size,method,memory,filter_type,gene_id,memory_log,memory_log10,size_log,size_log10
45000,Seurat,5154.42,Filter2,7891,8.54760987799695,3.7121798034758,10.7144177687525,4.65321251377534
45000,Seurat,5155.53,Filter3,7891,8.54782520396929,3.7122733183574,10.7144177687525,4.65321251377534
45000,Seurat,5156.64,Filter4,7891,8.54804048358634,3.71236681310715,10.7144177687525,4.65321251377534
45000,Seurat,5156.29,Filter5,7891,8.54797260762866,3.71233733495328,10.7144177687525,4.65321251377534
45000,Seurat,5168.66,Filter6,7891,8.55036874628667,3.71337796475033,10.7144177687525,4.65321251377534
45000,Seurat,5217.12,Filter1,4373,8.55970080448299,3.71743082612979,10.7144177687525,4.65321251377534
45000,Seurat,5213.51,Filter2,4373,8.55900861232506,3.71713021089518,10.7144177687525,4.65321251377534
45000,Seurat,5179.04,Filter3,4373,8.55237498989281,3.71424926527783,10.7144177687525,4.65321251377534
45000,Seurat,5179.91,Filter4,4373,8.55254296058522,3.71432221402266,10.7144177687525,4.65321251377534
45000,Seurat,5156.29,Filter5,4373,8.54797260762866,3.71233733495328,10.7144177687525,4.65321251377534
45000,Seurat,5168.66,Filter6,4373,8.55036874628667,3.71337796475033,10.7144177687525,4.65321251377534
45000,Seurat,5153.32,Filter1,5874,8.54739644614783,3.71208711120147,10.7144177687525,4.65321251377534
